idx,im_std,clicks,spent,success
0,-0.5735416319944527,1,1.429999948,1.0
1,-0.539934627809413,2,1.820000023,-1.0
2,-0.5834245403700552,1,1.25,-1.0
3,-0.5838274023743664,1,1.289999962,1.0
4,-0.5471158029021349,3,4.769999981,-1.0
5,-0.5620280916966383,1,1.269999981,1.0
6,-0.5895122328796466,1,1.5,-1.0
7,-0.5666610047462171,3,3.159999967,-1.0
8,-0.5501404652519634,7,10.28000021,1.0
9,-0.5896720987543732,1,0.569999993,-1.0
10,-0.5822479275320669,1,1.690000057,-1.0
11,-0.5298151179392151,4,4.630000114,1.0
12,-0.574238647208261,2,2.609999895,-1.0
13,-0.5580666153209115,2,3.049999952,-1.0
14,-0.5580570233684279,2,3.059999943,1.0
15,-0.5732538734199447,2,2.980000019,1.0
16,-0.5359315863062574,4,5.5200001,-1.0
17,-0.561948158759275,2,1.690000057,1.0
18,-0.5208914048119726,7,8.470000148,1.0
19,-0.4460517942174314,12,15.82000017,-1.0
20,-0.589742439739253,1,1.470000029,-1.0
21,-0.5900653688062009,1,1.529999971,1.0
22,-0.4126686022570091,14,18.06999969,1.0
23,-0.5871590072036701,1,1.610000014,1.0
24,-0.5810105656616825,1,1.190000057,-1.0
25,-0.47322259828597546,7,9.220000267,-1.0
26,-0.5798755179511232,1,1.50999999,-1.0
27,-0.5259943235332478,7,9.430000067,1.0
28,-0.5554160391179433,5,6.960000038,-1.0
29,-0.589023043302983,1,1.220000029,-1.0
30,-0.5782928457913292,2,2.799999952,1.0
31,-0.5881437809919864,1,1.600000024,-1.0
32,-0.5848537412901116,1,1.129999995,1.0
33,-0.561235156957994,4,5.730000019,1.0
34,-0.5408586525653332,7,9.379999995,-1.0
35,-0.554424870694638,4,5.629999995,1.0
36,-0.553369755921442,3,3.840000033,-1.0
37,-0.5798595313636505,1,1.039999962,-1.0
38,-0.5829001803009517,1,1.460000038,1.0
39,-0.5574527303619611,2,2.839999914,1.0
40,-0.5876481967803336,1,1.350000024,1.0
41,-0.5640072312257544,4,5.75,-1.0
42,-0.570635270391922,3,3.980000019,-1.0
43,-0.5581689294807365,3,4.449999928,-1.0
44,-0.5723937950139152,2,1.320000052,-1.0
45,-0.5635787906814869,3,4.090000033,-1.0
46,-0.5792136732297548,1,1.529999971,1.0
47,-0.47126903729681563,7,10.03000009,1.0
48,-0.553945273070458,3,4.25,-1.0
49,-0.414724477405994,13,20.29000032,1.0
50,-0.5796069432815824,1,1.389999986,1.0
51,-0.5593039771912959,3,4.440000057,-1.0
52,-0.5834245403700552,1,1.570000052,1.0
53,-0.5800225945558717,1,1.289999962,1.0
54,-0.5809785924867372,1,1.409999967,1.0
55,-0.2624490344113505,24,33.33000004,1.0
56,-0.5698519276057613,3,3.340000093,1.0
