idx,interest1,interest2,interest3,impressions,im_std,clicks,spent,total_conversion,approved_conversion
0,15,17,17,7350.0,-0.5735416319944527,1,1.429999948,2.0,1.0
1,16,19,21,17861.0,-0.539934627809413,2,1.820000023,2.0,0.0
2,20,25,22,693.0,-0.594826174555561,0,0.0,1.0,0.0
3,28,32,32,4259.0,-0.5834245403700552,1,1.25,1.0,0.0
4,28,33,32,4133.0,-0.5838274023743664,1,1.289999962,1.0,1.0
5,29,30,30,1915.0,-0.5909190525772412,0,0.0,1.0,1.0
6,15,16,17,15615.0,-0.5471158029021349,3,4.769999981,1.0,0.0
7,16,20,18,10951.0,-0.5620280916966383,1,1.269999981,1.0,1.0
8,27,31,31,2355.0,-0.5895122328796466,1,1.5,1.0,0.0
9,28,32,31,9502.0,-0.5666610047462171,3,3.159999967,1.0,0.0
10,31,37,34,1224.0,-0.5931283989659638,0,0.0,1.0,0.0
11,7,8,8,735.0,-0.5946918872207906,0,0.0,1.0,0.0
12,16,20,22,5117.0,-0.5806812419597456,0,0.0,1.0,0.0
13,16,19,21,5120.0,-0.580671650007262,0,0.0,1.0,0.0
14,20,26,23,14669.0,-0.5501404652519634,7,10.28000021,1.0,1.0
15,28,30,32,1241.0,-0.5930740445685567,0,0.0,1.0,1.0
16,30,34,31,2305.0,-0.5896720987543732,1,0.569999993,1.0,0.0
17,31,34,33,1024.0,-0.5937678624648705,0,0.0,1.0,1.0
18,15,16,17,4627.0,-0.5822479275320669,1,1.690000057,1.0,0.0
19,16,20,22,21026.0,-0.5298151179392151,4,4.630000114,2.0,1.0
20,15,21,20,1422.0,-0.5924953301020461,0,0.0,1.0,1.0
21,15,17,19,7132.0,-0.574238647208261,2,2.609999895,1.0,0.0
22,16,22,22,12190.0,-0.5580666153209115,2,3.049999952,1.0,0.0
23,16,22,20,12193.0,-0.5580570233684279,2,3.059999943,1.0,1.0
24,16,19,18,3332.0,-0.5863884536874876,0,0.0,1.0,1.0
25,7,12,10,559.0,-0.5952546150998285,0,0.0,1.0,0.0
26,29,33,32,7440.0,-0.5732538734199447,2,2.980000019,1.0,1.0
